,0
3028,Australian male comedians
6426,Australian male composers
2067,Australian male criminals
5357,Australian male dramatists and playwrights
8982,Australian male film actors
11249,Australian male guitarists
559,Australian male musical theatre actors
16751,Australian male non-fiction writers
11749,Australian male novelists
7938,Australian male painters
6030,Australian male poets
15808,Australian male radio actors
16131,Australian male screenwriters
6375,Australian male short story writers
2617,Australian male singer-songwriters
3675,Australian male singers
11433,Australian male stage actors
7152,Australian male swimmers
11862,Australian male television actors
14527,Australian male voice actors
9008,Australian male writers
1925,Australian members of the Order of Merit
9393,Australian memoirists
1185,Australian meteorologists
15382,Australian monarchists
15159,Australian motorsport people
7243,Australian multi-instrumentalists
7079,Australian music arrangers
16156,Australian musical theatre actresses
11523,Australian musical theatre composers
1157,Australian musical theatre lyricists
17767,Australian mystery writers
18753,Australian non-fiction writers
15075,Australian of the Year Award winners
11895,Australian opera composers
12226,Australian opera directors
8183,Australian operatic sopranos
5651,Australian painters
14601,Australian people convicted of child sexual abuse
12430,Australian people convicted of indecent assault
16697,Australian people imprisoned abroad
15178,Australian people of Belarusian-Jewish descent
9527,Australian people of British-Jewish descent
6318,Australian people of Chinese descent
28,Australian people of Dutch descent
8738,Australian people of English descent
18114,Australian people of German descent
14244,Australian people of Hungarian descent
18727,Australian people of Irish descent
10935,Australian people of Italian descent
2254,Australian people of Lebanese descent
17335,Australian people of Polish-Jewish descent
9294,Australian people of Russian-Jewish descent
3125,Australian people of Scottish descent
4938,Australian people of Sri Lankan descent
8656,Australian people of Welsh descent
16865,Australian people of World War II
14295,Australian physicists
9848,Australian pianists
12283,Australian poets
6428,Australian political commentators
16570,Australian portrait painters
15194,Australian printmakers
4520,Australian prisoners of war
13914,Australian psychological fiction writers
6824,Australian psychologists
11136,Australian public health doctors
3574,Australian radio actresses
11796,Australian republicans
8960,Australian romantic fiction writers
10377,Australian satirists
16587,Australian sceptics
11910,Australian schoolteachers
14679,Australian shooting survivors
14715,Australian singer-songwriters
11319,Australian soap opera actresses
9333,Australian social commentators
4549,Australian social democrats
3950,Australian socialist feminists
4752,Australian socialists
6218,Australian sopranos
11380,Australian sports journalists
16643,Australian stage actresses
10975,Australian stand-up comedians
11890,Australian television actresses
6265,Australian television chefs
17745,Australian television directors
9253,Australian television personalities
15388,Australian television presenters
11675,Australian theatre directors
15257,Australian thriller writers
9061,Australian transplant surgeons
13979,Australian travel writers
16761,Australian video game actresses
18085,Australian voice actresses
11563,Australian war correspondents
16951,Australian women ambassadors
13302,Australian women chief executives
11091,Australian women children's writers
1165,Australian women comedians
154,Australian women company founders
3813,Australian women film producers
4742,Australian women in electronic music
6274,Australian women novelists
15960,Australian women pianists
14778,Australian women poets
12917,Australian women pop singers
16444,Australian women psychologists
9005,Australian women singers
12334,Australian zoologists
5073,Austrian Jews
11149,Austrian Nobel laureates
5210,Austrian Roman Catholics
15115,Austrian anti-fascists
6807,Austrian autobiographers
15032,Austrian baronesses
15689,Austrian biologists
16905,Austrian biophysicists
15532,Austrian classical pianists
4547,Austrian comedians
1038,Austrian emigrants to England
7817,Austrian emigrants to the United Kingdom
16423,Austrian emigrants to the United States
5976,Austrian expatriates in Bulgaria
15991,Austrian expatriates in Germany
4255,Austrian expatriates in the Netherlands
3262,Austrian expatriates in the United Kingdom
9608,Austrian film directors
14411,Austrian gay actors
2385,Austrian governesses
16786,Austrian male film actors
13875,Austrian male silent film actors
4471,Austrian male television actors
10076,Austrian nobility
571,Austrian operatic tenors
4240,Austrian people of Bulgarian descent
10680,Austrian people of Jewish descent
16299,Austrian people of Moravian-German descent
9230,Austro-Hungarian Jews
3909,Austro-Hungarian Nobel laureates
167,Austro-Hungarian military personnel of World War I
7481,Authors of utopian literature
12868,Autism activists
6172,Autism researchers
2515,Auto racing executives
4637,Auxiliary Territorial Service officers
17470,Auxiliary firefighters
5191,Avant-garde singers
12664,Aviators killed in aviation accidents or incidents
10334,Aviators killed in aviation accidents or incidents in England
17481,Ayrton family
10880,Azerbaijan University of Languages alumni
15770,BAFTA Most Promising Newcomer to Leading Film Roles winners
8903,BAFTA Outstanding British Contribution to Cinema Award
16780,BAFTA fellows
5458,BAFTA winners (people)
2072,BBC 100 Women
16220,BBC Big Band members
15742,BBC Board members
15733,BBC Governors
12449,BBC One controllers
5733,BBC Orchestras
18399,BBC Radio
2467,BBC Radio 1 presenters
4035,BBC Radio 2 presenters
9934,BBC Radio 3
1987,BBC Radio 3 New Generation Artists
17545,BBC Radio 3 controllers
18650,BBC Radio 3 presenters
9138,BBC Radio 4
2007,BBC Radio 4 presenters
2413,BBC Radio 5 Live presenters
550,BBC Radio 6 Music presenters
8700,BBC Records artists
7080,BBC Sports Personality Lifetime Achievement Award recipients
4480,BBC Sports Personality World Sport Star of the Year winners
14691,BBC Sports Personality of the Year winners
10445,BBC Symphony Orchestra
13332,BBC Television
8416,BBC Television biography stubs
15294,BBC Two controllers
3076,BBC World News
14398,BBC World Service people
3171,BBC controversies
1172,BBC executives
18585,BBC music executives
1837,BBC newsreaders and journalists
7280,BBC people
3198,BBC radio presenters
17403,BBC radio producers
7093,BBC sports presenters and reporters
4513,BBC television presenters
4635,BBC television producers
13307,BBC weather forecasters
4478,BFI template with ID not in Wikidata
17780,BLP articles lacking sources from April 2008
6184,BLP articles lacking sources from April 2010
16986,BLP articles lacking sources from April 2012
2902,BLP articles lacking sources from April 2013
10616,BLP articles lacking sources from April 2015
5429,BLP articles lacking sources from April 2016
12834,BLP articles lacking sources from April 2017
14998,BLP articles lacking sources from April 2020
3321,BLP articles lacking sources from April 2021
16996,BLP articles lacking sources from April 2022
16242,BLP articles lacking sources from August 2010
29,BLP articles lacking sources from August 2014
2881,BLP articles lacking sources from August 2015
2590,BLP articles lacking sources from August 2017
15957,BLP articles lacking sources from August 2020
2581,BLP articles lacking sources from August 2022
15421,BLP articles lacking sources from December 2010
4553,BLP articles lacking sources from December 2012
4115,BLP articles lacking sources from December 2014
11215,BLP articles lacking sources from December 2015
13379,BLP articles lacking sources from December 2016
1569,BLP articles lacking sources from December 2018
1613,BLP articles lacking sources from December 2022
5412,BLP articles lacking sources from February 2012
6890,BLP articles lacking sources from February 2015
11860,BLP articles lacking sources from February 2016
15142,BLP articles lacking sources from February 2017
7431,BLP articles lacking sources from February 2020
6598,BLP articles lacking sources from January 2010
537,BLP articles lacking sources from January 2011
13499,BLP articles lacking sources from January 2014
2990,BLP articles lacking sources from January 2015
11656,BLP articles lacking sources from January 2016
7923,BLP articles lacking sources from January 2017
12171,BLP articles lacking sources from January 2018
8645,BLP articles lacking sources from January 2019
7951,BLP articles lacking sources from January 2020
12224,BLP articles lacking sources from January 2022
8409,BLP articles lacking sources from July 2012
3632,BLP articles lacking sources from July 2014
548,BLP articles lacking sources from July 2021
3851,BLP articles lacking sources from July 2022
2530,BLP articles lacking sources from June 2009
17827,BLP articles lacking sources from June 2013
5040,BLP articles lacking sources from June 2014
5532,BLP articles lacking sources from June 2016
3814,BLP articles lacking sources from June 2017
7230,BLP articles lacking sources from June 2019
11915,BLP articles lacking sources from June 2020
5184,BLP articles lacking sources from June 2021
14214,BLP articles lacking sources from June 2022
14902,BLP articles lacking sources from March 2009
8540,BLP articles lacking sources from March 2010
11914,BLP articles lacking sources from March 2011
12328,BLP articles lacking sources from March 2013
3213,BLP articles lacking sources from March 2016
2121,BLP articles lacking sources from March 2017
5042,BLP articles lacking sources from March 2018
1927,BLP articles lacking sources from March 2019
10048,BLP articles lacking sources from March 2023
11767,BLP articles lacking sources from May 2011
6410,BLP articles lacking sources from May 2012
6163,BLP articles lacking sources from May 2016
15103,BLP articles lacking sources from May 2019
9267,BLP articles lacking sources from May 2020
626,BLP articles lacking sources from November 2008
9983,BLP articles lacking sources from November 2011
17547,BLP articles lacking sources from November 2012
1550,BLP articles lacking sources from November 2016
358,BLP articles lacking sources from November 2018
18661,BLP articles lacking sources from November 2021
5415,BLP articles lacking sources from November 2022
7713,BLP articles lacking sources from October 2012
12597,BLP articles lacking sources from October 2013
1244,BLP articles lacking sources from October 2019
7856,BLP articles lacking sources from September 2010
1201,BLP articles lacking sources from September 2013
6506,BLP articles lacking sources from September 2014
5164,BLP articles lacking sources from September 2015
10708,BLP articles lacking sources from September 2016
10269,BLP articles lacking sources from September 2021
1478,BLP articles lacking sources from September 2022
8446,BMW M drivers
12904,BRDC Gold Star winners
1568,BRIT Award trophy designers
2103,BRM Formula One drivers
10342,BT Digital Music Awards winners
5863,BT Sport presenters and reporters
12498,Bach conductors
1681,Bach musicians
16081,Bachop-Mauger family
14912,Back Stage West Garland Award recipients
10551,Balding family
17302,Ballad musicians
7073,Ballerinas from the Russian Empire
7995,Ballet Russe de Monte Carlo dancers
1660,Ballet choreographers
18559,Ballet composers
12704,Ballet designers
9396,Ballet librettists
9090,Ballet teachers
7303,Ballets Russes dancers
15843,Ballets by Frederick Ashton
2248,Ballets by Kenneth MacMillan
16289,Ballets by Robert Helpmann
13118,Balloon flight record holders
3997,Baltimore City College alumni
1614,Bancarella Prize winners
2733,Bangladeshi choreographers
1423,Bangladeshi dancers
6141,Bangladeshi male dancers
17763,Bankhead family
17333,Bantamweight boxers
14938,Baptists from Arkansas
17415,Baptists from New Jersey
8742,Baptists from New York (state)
4591,Baptists from Virginia
12633,Barack Obama 2012 presidential campaign
14231,Barbadian cricketers
14285,Barbadian male singers
17191,Barbados cricketers
16954,Barbarian F.C. players
1532,Barbiturates-related deaths
13406,Barclay Records artists
15894,Bard College alumni
16014,Bard College faculty
7699,Bards of Gorsedh Kernow
6079,Bards of the Gorsedd
5349,Barnard College alumni
6019,Barnsley F.C. players
1950,Baronesses of the Netherlands
17444,Baronesses- and Lords-in-Waiting
8454,Baronets in the Baronetage of the United Kingdom
5463,Baronets in the Baronetage of the United Kingdom stubs
3412,Baronies in the Peerage of the United Kingdom
10415,Barons Carrington
7850,Barons Cobbold
7057,Barons Montagu of Beaulieu
17025,Barons Rothschild
16776,Barons created by George V
3147,Barons created by George VI
12594,Barons in the Peerage of the United Kingdom
13500,Barons of Belgium
6641,Barristers from Northern Ireland
10696,Barry Award winners
14488,Barry Humphries
1615,Barry Manilow
4183,Bartenders
14120,Basketball players from New Jersey
18102,Basketball players from San Francisco
5906,Basketball players from Texas
3548,Bass clarinetists
8374,Bass drum players
5374,Bates College alumni
603,Baylor Bears men's track and field athletes
17785,Beat musicians
4876,Beaton family
11224,Beauty pageant hosts
11694,Bebop drummers
2614,Bebop ensembles
4262,Bebop pianists
9560,Bebop saxophonists
11510,Bebop trumpeters
8589,Bective Rangers players
18067,Bedford Blues players
18126,Bedfordshire and Hertfordshire Regiment officers
12925,Bedfordshire cricketers
5615,Beerbohm family
12973,Beggars Banquet Records artists
3650,Behavioral economists
17981,Belgian film directors
14490,Belgian microbiologists
17725,Belgian officials of the United Nations
17900,Bell Records artists
16193,Bella Union artists
12311,Belle Vue Aces riders
13713,Benedictine College alumni
474,Bengali Hindus
14266,Bengali musicians
13167,Bengali people
16187,Bengali scientists
4541,Bengali writers
12601,Benjamin Britten
6647,Benjamin Franklin Medal (Franklin Institute) laureates
8255,Benn family
4245,Bennington College alumni
14876,Benois family
16633,Bergen-Belsen concentration camp survivors
7576,Berkeley family
14493,Berklee College of Music alumni
16556,Berkman Fellows
13880,Berlin University of the Arts alumni
11713,Bernard family
10960,Bertie family
2863,Bessemer Gold Medal
7147,Bessie Award winners
9453,Best Actor AACTA Award winners
3381,Best Actor Academy Award winners
6622,Best Actor BAFTA Award (television) winners
16937,Best Actor BAFTA Award winners
17830,Best Actor César Award winners
3441,Best Actor Genie and Canadian Screen Award winners
6058,Best Actress Academy Award winners
3380,Best Actress BAFTA Award (television) winners
4357,Best Actress BAFTA Award winners
15520,Best Actress Lumières Award winners
1018,Best Adapted Screenplay Academy Award winners
214,Best Adapted Screenplay BAFTA Award winners
12899,Best Art Direction Academy Award winners
2322,Best Art Direction/Production Design Genie and Canadian Screen Award winners
1994,Best British Actor BAFTA Award winners
10724,Best British Actress BAFTA Award winners
17100,Best British Screenplay BAFTA Award winners
3197,Best Comedy Performance BAFTA Award (television) winners
17657,Best Costume Design Academy Award winners
2598,Best Costume Design BAFTA Award winners
9503,Best Directing Academy Award winners
16752,Best Director AACTA International Award winners
8602,Best Director BAFTA Award winners
6659,Best Director Golden Globe winners
14777,Best Drama Actor Golden Globe (film) winners
15820,Best Drama Actor Golden Globe (television) winners
15150,Best Drama Actress Golden Globe (film) winners
11214,Best Drama Actress Golden Globe (television) winners
8596,Best Entertainment Performance BAFTA Award (television) winners
288,Best Female Comedy Performance BAFTA Award (television) winners
13814,Best Foreign Actor BAFTA Award winners
12878,Best Foreign Actress BAFTA Award winners
1303,Best Male Comedy Performance BAFTA Award (television) winners
5231,Best Miniseries or Television Movie Actor Golden Globe winners
13120,Best Miniseries or Television Movie Actress Golden Globe winners
12046,Best Musical or Comedy Actor Golden Globe (film) winners
7637,Best Musical or Comedy Actor Golden Globe (television) winners
11554,Best Musical or Comedy Actress Golden Globe (film) winners
4503,Best Original Music BAFTA Award winners
13558,Best Original Music Score Academy Award winners
18157,Best Original Screenplay Academy Award winners
17759,Best Original Screenplay BAFTA Award winners
16231,Best Original Screenplay National Film Award winners
11008,Best Original Song Academy Award-winning songwriters
12681,Best Performance by a Foreign Actor Genie Award winners
11683,Best Production Design BAFTA Award winners
14461,Best Screenplay AACTA International Award winners
16789,Best Screenplay BAFTA Award winners
15281,Best Screenplay Genie and Canadian Screen Award winners
15266,Best Screenplay Golden Globe winners
15676,Best Story Academy Award winners
8494,Best Supporting Actor AACTA Award winners
11969,Best Supporting Actor AACTA International Award winners
8046,Best Supporting Actor Academy Award winners
851,Best Supporting Actor BAFTA Award (television) winners
16591,Best Supporting Actor BAFTA Award winners
16950,Best Supporting Actor Genie and Canadian Screen Award winners
4502,Best Supporting Actor Golden Globe (film) winners
8758,Best Supporting Actor Golden Globe (television) winners
15934,Best Supporting Actor in a Drama Series Canadian Screen Award winners
10857,Best Supporting Actor in a Television Film or Miniseries Canadian Screen Award winners
7898,Best Supporting Actress AACTA Award winners
3440,Best Supporting Actress AACTA International Award winners
4007,Best Supporting Actress Academy Award winners
6719,Best Supporting Actress BAFTA Award (television) winners
10253,Best Supporting Actress BAFTA Award winners
2554,Best Supporting Actress Golden Globe (film) winners
792,Best Supporting Actress Golden Globe (television) winners
18813,Best Supporting Actress in a Drama Series Canadian Screen Award winners
18821,Best Supporting Performance in a Drama Series Canadian Screen Award winners
16699,Beta Theta Pi
11585,Beverly Hills High School alumni
17740,Bevin Boys
9410,Biden administration personnel
4792,Bienen School of Music alumni
2161,Big Brother (British TV series) contestants
9856,Big Brother (British TV series) winners
8727,Big History
5873,Big Sur
12196,Big band bandleaders
5202,Big band drummers
15860,Big band pianists
15476,Big band singers
55,Bigfoot
16743,Bill & Melinda Gates Foundation people
11056,Bill Gates
10224,Bill Wyman's Rhythm Kings members
679,Billie Jean King
11536,Billy Connolly
5609,Billy Cotton Band Show
4800,Binchy family
8382,Bing Crosby
14299,Biograph Records artists
16035,Biographers of artists
17839,Biography articles with topics of unclear notability
395,Biography with signature
18210,Biostatisticians
7390,Biotechnologists
5864,Birchfield Harriers
5794,Birdwatchers
15242,Birkin family
17073,Birmingham City F.C. directors and chairmen
8893,Birmingham High School alumni
8594,Birmingham Royal Ballet dancers
4851,Bisexual Jews
8468,Bisexual academics
3164,Bisexual actresses
16316,Bisexual businesspeople
2736,Bisexual composers
14183,Bisexual dramatists and playwrights
17291,Bisexual feminists
4964,Bisexual journalists
14306,Bisexual male actors
1835,Bisexual male artists
1483,Bisexual male musicians
9177,Bisexual male politicians
13055,Bisexual male writers
13906,Bisexual memoirists
8640,Bisexual men
10780,Bisexual military personnel
8855,Bisexual musicians
14729,Bisexual novelists
5087,Bisexual painters
17628,Bisexual photographers
5459,Bisexual poets
16133,Bisexual screenwriters
18135,Bisexual sculptors
1701,Bisexual singers
15626,Bisexual women
9342,Bisexual women musicians
1773,Bisexual women writers
17518,Bishop Cotton Boys' School alumni
17394,Bishop Miege High School alumni
5538,Bishops of Bath and Wells
13990,Bishops of Birmingham
5766,Bishops of Chester
3322,"Bishops of Dover, Kent"
4989,Bishops of Durham
10374,Bishops of Fulham
3306,Bishops of London
17558,Bishops of Monmouth
8286,Bishops of Peterborough
13256,Bishops of St Albans
2874,Bishops of Stepney
4360,Bishops of Wakefield (diocese)
3355,Bishops of Willesden
12167,Bishops of Woolwich
18784,Black & Blue Records artists
14454,Black British MPs
13678,Black British academics
16658,Black British actresses
353,Black British artists
13567,Black British classical musicians
10414,Black British fashion people
16432,Black British filmmakers
17984,Black British history
3537,Black British journalists
18350,Black British male actors
1855,Black British male comedians
14649,Black British military personnel
15152,Black British musicians
18782,Black British people in health professions
4815,Black British photographers
17623,Black British politicians
6861,Black British radio presenters
4241,Black British religious leaders
15562,Black British rock musicians
11105,Black British sportsmen
1049,Black British sportswomen
3676,Black British television personalities
11933,Black British women academics
1281,Black British women politicians
7214,Black British women writers
16576,Black British writers
16654,Black Canadian writers
5204,Black Jewish people
18240,Black Lion Records artists
5123,Black Mirror
3706,Black Watch officers
14305,Black family (Canada)
1422,Blackface minstrel performers
12666,Blair Academy alumni
13460,Bletchley Park people
14850,Bletchley Park women
8659,Blind Faith members
2808,Blind academics
11882,Blind musicians
14869,Blind politicians
6793,Blind writers
12604,Blinky Bill
2315,Blondie (band) members
387,Blood libel
4057,Bloomsbury Group
7250,Bloomsbury Group biographers
7398,Blue Murder (folk group) members
996,Blue Note Records artists
3892,Blue Peter
499,Blue Peter presenters
17491,Blue Thumb Records artists
11334,Bluebird Records artists
11486,Blues Incorporated members
101,Blues and Royals soldiers
12518,Blues harmonica players
18322,Blues musicians from Mississippi
12774,Blues musicians from Tennessee
6628,Blues revival musicians
13921,Blues rock musicians
12000,Bluesology members
1877,Board members of the Australian Broadcasting Corporation
7470,Boardman Tasker Prize winners
11132,Boat and ship designers
9143,Bob Hope
14870,Bobsledders at the 1964 Winter Olympics
2377,Bodhrán players
14168,Bohemian nobility
13340,Bolton Wanderers F.C. wartime guest players
2727,Bonneville 200 MPH Club members
12434,Bonneville 300 MPH Club members
11268,Bonnier Amigo Music Group artists
9785,Boogie Box High members
3204,Boogie-woogie pianists
3586,Book and manuscript collectors
17885,Booker Prize winners
18360,Booker authors' division
8686,Border Regiment soldiers
582,Border cricketers
1515,Boris Johnson
10918,Boris Johnson family
14098,Borough of Brentwood
1121,Bosnia and Herzegovina Muslims
10767,Bosnia and Herzegovina emigrants to England
8466,Bosniaks of Bosnia and Herzegovina
1850,Boston Consulting Group people
9414,Boston University College of Arts and Sciences alumni
2873,Boston University College of Fine Arts alumni
7367,Boston University faculty
14967,Botanists active in Kew Gardens
18049,Botanists with author abbreviations
3524,Bow Wow Wow members
18895,Bowls World Champions
18478,Bowls players at the 1962 British Empire and Commonwealth Games
4705,Bowls players at the 1970 British Commonwealth Games
2760,Bowls players at the 1974 British Commonwealth Games
2703,Bowls players at the 1978 Commonwealth Games
1798,Boxers at the 1952 Summer Olympics
14053,Boxers at the 1968 Summer Olympics
13690,Boxers at the 1970 British Commonwealth Games
14245,Boxers at the 1972 Summer Olympics
7878,Boxers at the 2012 Summer Olympics
14193,Boxers at the 2014 Commonwealth Games
5109,Boxers at the 2015 European Games
15261,Boxers at the 2016 Summer Olympics
11386,Boxers from Greater London
479,Boxers from Houston
16021,Boxers from Leicester
2851,Boxers from Liverpool
3259,Boxing commentators
7022,Boxing writers
17570,Boy sopranos
3247,Boys High School (Brooklyn) alumni
2193,Brabazon family
3245,Brabham Formula One drivers
1536,Brabham family
5272,Brand X members
18676,Brass Monkey (band) members
9861,Brass band composers
6654,Brass band conductors
13910,Brazilian Roman Catholics
3188,Brazilian lyricists
13540,Brazilian male bloggers
13934,Brazilian male novelists
9015,Brazilian science fiction writers
9561,Brentford F.C. directors and chairmen
3043,Brentford F.C. players
8693,Brexit
1871,Brexit Party MEPs
1264,Brian Eno
1712,Brian May
4804,Bridget Jones
4025,Brigham Young University–Idaho faculty
1287,Brighton Speed Trials people
6125,Brimsdown Rovers F.C. players
1060,Brisbane Heat cricketers
6002,Brit Award winners
13942,Britannia Trophy winners
11907,Britcar 24-hour drivers
5023,Britcar drivers
10318,British & Irish Lions coaches
7689,British & Irish Lions rugby union players from England
4157,British & Irish Lions rugby union players from Wales
6468,British Airways people
12708,British American Tobacco people
12115,British Anglican theologians
10299,British Anglicans
371,British Anglo-Catholics
10586,British Antarctic Survey
3916,British Antarctic scientists
8612,British Arabists
9244,British Army Air Corps officers
8346,British Army Commandos officers
15441,British Army Commandos soldiers
3648,British Army General List officers
13437,British Army brigadiers
15847,British Army brigadiers of World War II
10442,British Army generals
13461,British Army major generals
41,British Army officers
5403,British Army personnel of World War I
7248,British Army personnel of World War II
11044,British Army personnel of the Falklands War
624,British Army personnel of the Gulf War
11592,British Army personnel of the Korean War
18734,British Army personnel of the Malayan Emergency
2799,British Army personnel of the War in Afghanistan (2001–2021)
5310,British Army personnel stubs
7342,British Army personnel who were court-martialled
10061,British Army soldiers
12579,British Ashkenazi Jews
9344,British Asian writers
6329,British Athletics Championships winners
17429,British Book Award winners
11352,British Boxing Board of Control champions
11435,British Buddhists
12447,British Byzantinists
18775,British Champion apprentice jockeys
2264,British Champion flat jockeys
6916,British Champion jumps jockeys
8190,British Chief Constables
701,British Children's Laureate
8168,British Christian pacifists
1499,British Christians
10987,British Conservative Jews
13351,British DJs
3871,British European Commissioners
5285,British Eurosceptics
8883,British Formula Three Championship drivers
5834,British Freemasons
5870,British Giro d'Italia stage winners
6208,British Guiana people
17928,British Hebraists
1208,British Holocaust deniers
7961,British Home Guard officers
3550,British Home Guard soldiers
8482,British Indian Army officers
7371,British Invasion artists
6869,British Ismailis
17991,British Jains
13215,British Jewish families
9209,British Jewish theologians
4012,British Jewish writers
6223,British Jews
8644,British Kenya people
4449,British King's Counsel
10455,British LGBT actors
15677,British LGBT broadcasters
8411,British LGBT businesspeople
13957,British LGBT comedians
7388,British LGBT dramatists and playwrights
10779,British LGBT entertainers
2083,British LGBT journalists
9957,British LGBT novelists
3332,British LGBT rights activists
5376,British LGBT scientists
2481,British LGBT screenwriters
10506,British LGBT singers
2643,British LGBT songwriters
18541,British Life Guards officers
6821,British Life Guards soldiers
4567,British Marxist historians
18469,British Marxist journalists
11922,British Marxist writers
3572,British Marxists
3208,British Merchant Navy officers
12669,British Merchant Navy personnel
16041,British Merchant Navy personnel of World War II
16451,British Muslims
8300,British Nobel laureates
3094,British Olympic medallist stubs
17326,British Orthodox Jews
5142,British Parachute Regiment officers
2203,British Parachute Regiment soldiers
4335,British Plymouth Brethren
1343,British Poets Laureate
16145,British Quakers
8616,British Racing Partnership Formula One drivers
8795,British Rail people
9757,British Realist painters
16040,British Reform rabbis
10924,British Roman Catholic writers
2927,British Roman Catholics
4660,British Royal Warrant holders
17411,British Scrabble players
3599,British Secretaries of State
16600,British Secretaries of State for Education
10376,British Secretaries of State for Employment
3734,British Secretaries of State for Foreign Affairs
9129,British Secretaries of State for Foreign and Commonwealth Affairs
15409,British Secretaries of State for the Environment
18083,British Sephardi Jews
3031,British Shakespearean actresses
15807,British Sikhs
287,British South Africa Police officers
16638,British Special Operations Executive personnel
13236,British Speedway Championship winners
16802,British Telecom people
15430,British Tour de France stage winners
2100,British Touring Car Championship Champions
4444,British Touring Car Championship drivers
7523,British Trust for Ornithology people
16411,British Union of Fascists politicians
12174,British Universities cricketers
197,British Vendee Globe sailors
17660,British Vogue
15028,British Vuelta a España stage winners
14230,British Wikimedians
14466,British World War I flying aces
6070,British World War I pilots
17559,British World War I prisoners of war
8405,British World War II bomber pilots
11539,British World War II fighter pilots
8839,British World War II flying aces
1938,British World War II pilots
6207,British World War II prisoners of war
187,British World War II recipients of the Victoria Cross
7136,British Yeomanry officers
8316,British YouTubers
8484,British Zionists
846,British Zoroastrians
4208,British abortion-rights activists
5551,British abstract artists
16429,British academic administrators
6284,British academic biography stubs
16551,British academics of Pakistani descent
17358,British accountants
15610,British activists
17489,British actor stubs
6221,British actor-politicians
5983,British actors of Latin American descent
3529,British actresses
7710,British actresses of Indian descent
13210,British adoptees
6395,British advertising executives
1205,British advice columnists
7480,British aerospace businesspeople
4129,British agnostics
3961,British air attachés
14726,British airline chief executives
6829,British alternative history writers
875,British alternative rock musicians
15529,British animal rights scholars
12090,British animal welfare scholars
12557,British animal welfare workers
2938,British animated film directors
8641,British animated film producers
12291,British animators
12395,British anthologists
11816,British anthropologists
2182,British anti-capitalists
10105,British anti-communists
2551,British anti-fascists
12553,British anti-poverty advocates
15832,British anti-war activists
3629,British anti–Iraq War activists
3903,British anti–death penalty activists
7854,British anti–nuclear power activists
7973,British anti–nuclear weapons activists
4590,British archaeologists
3286,British architects
3112,British architecture writers
13707,British art curators
11093,British art directors
16543,British art historians
5936,British artist stubs
11065,British artistic directors
14598,British artists
7017,British arts administrators
10805,British association football commentators
4085,British astronauts
2997,British astrophysicists
11123,British atheism activists
9807,British atheists
13895,British autobiographers
4385,British autoharp players
10220,British aviation pioneers
8557,British aviation record holders
12849,British bakers
4361,British ballerinas
13566,British ballet composers
6520,British ballroom dancers
13183,British bandleaders
8206,British baritones
13491,British baronesses
11160,British barristers
5580,British bibliophiles
7970,British billionaires
11780,British biochemists
562,British bioengineers
10287,British biographers
2587,British bioinformaticians
14503,British biologists
9869,British biophysicists
15823,British bird artists
730,British bisexual people
10612,British bisexual writers
12445,British blacksmiths
14373,British blind people
18113,British bloggers
7580,British blues pianists
17845,British blues singers
4598,British boat builders
2575,British boilermakers
16058,British book and manuscript collectors
18055,British book editors
14498,British book publishers (people)
15158,British boxing promoters
17212,British brands
10059,British broadcast news analysts
8241,British broadcaster-politicians
3810,British broadcasters
13119,British business and financial journalists
18573,British business biography stubs
11471,"British business biography, 1940s birth stubs"
8574,"British business biography, 19th-century birth stubs"
2940,British business executives
14889,British business writers
8874,British businesspeople
15433,British businesspeople in insurance
7355,British businesspeople in retailing
3684,British businesspeople in the oil industry
7021,British cabinetmakers
11350,British car collectors
3212,British cardiologists
16159,British caricaturists
12309,British cartoonist stubs
4723,British cartoonists
11975,British casting directors
9835,British cellists
12252,British censors
15803,British centenarians
17008,British ceramicists
3691,British chairpersons of corporations
7981,British charity and campaign group workers
12543,British chefs
5097,British chess players
422,British chick lit writers
6682,British chief executives
5836,British child singers
3047,British child writers
800,British children's book illustrators
6934,British children's television presenters
4156,British children's writers
11778,British chocolate companies
2,British choral conductors
14617,British choreographers
14899,British circus performers
6179,British civil servants
213,British civilians killed in World War II
1050,British clarinetists
13085,British classical clarinetists
13781,British classical composers
491,British classical horn players
11293,British classical musician stubs
14249,British classical organists
1341,British classical percussionists
1123,British classical pianists
2579,British classical scholars
8006,British classical violinists
18772,British cognitive neuroscientists
16978,British colonial army officers
9862,British colorectal surgeons
10254,British columnists
8536,British comedians
4751,British comedy actresses
4295,British comedy musicians
11981,British comedy writers
750,British comics artists
5716,British comics writers
2905,British communists
6660,British company founders
16209,British composer stubs
17099,British composers
13412,British computer programmers
2001,British computer scientists
8102,British conceptual artists
14030,British conductor (music) stubs
5384,British conductors (music)
13937,British conscientious objectors
7984,British consciousness researchers and theorists
4834,British conservationists
12613,British contemporary R&B singers
1936,British contemporary artists
11667,British cookbook writers
4010,British copywriters
14492,British corporate directors
5288,British cosmetics businesspeople
1027,British cosmologists
11469,British countesses
4981,British crime fiction writers
13438,British crime writers
482,British criminologists
17226,British critics
15304,British critics of Christianity
12192,British critics of Islam
4865,British crooners
12462,British crystallographers
8862,British curators
572,British cycle designers
11999,British cycling road race champions
12352,British dance musicians
18537,British debutantes
2461,British decathletes
3962,British deists
8534,British detective fiction writers
5225,British diarists
10395,British diplomats
